"Season","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2002",".293","1.23","21.2 %","43.5 %","35.3 %","11.7 %","10.7 %","3725","6.4 %","772","23.4 %","42.9 %","29.1 %","28.1 %","15.1 %","62.6 %","22.4 %"
"2003",".294","1.26","22.5 %","43.3 %","34.2 %","11.7 %","11.2 %","3613","6.2 %","786","23.8 %","43.9 %","27.5 %","28.6 %","15.9 %","60.5 %","23.6 %"
"2004",".297","1.23","20.0 %","44.1 %","35.9 %","11.3 %","11.2 %","3921","6.6 %","708","21.5 %","43.3 %","28.9 %","27.7 %","14.5 %","58.9 %","26.6 %"
"2005",".295","1.27","20.9 %","44.2 %","34.9 %","11.1 %","10.6 %","3706","6.2 %","711","22.3 %","42.6 %","30.2 %","27.2 %","15.8 %","56.4 %","27.8 %"
"2006",".301","1.19","19.6 %","43.7 %","36.7 %","10.4 %","10.8 %","3654","6.2 %","693","22.4 %","40.2 %","34.0 %","25.7 %","11.2 %","61.6 %","27.2 %"
"2007",".303","1.15","18.6 %","43.5 %","37.9 %","9.8 %","9.6 %","3672","6.2 %","684","23.0 %","40.2 %","34.1 %","25.8 %","18.2 %","49.8 %","32.0 %"
"2008",".300","1.22","20.2 %","43.9 %","35.9 %","10.3 %","10.1 %","3661","6.2 %","666","22.5 %","40.5 %","33.2 %","26.3 %","16.9 %","55.9 %","27.1 %"
"2009",".299","1.15","18.9 %","43.3 %","37.8 %","9.7 %","10.1 %","3572","6.2 %","678","21.9 %","40.3 %","33.9 %","25.8 %","15.7 %","57.4 %","26.9 %"
"2010",".297","1.18","18.2 %","44.3 %","37.5 %","9.3 %","9.4 %","3735","6.4 %","679","22.7 %","39.2 %","35.8 %","25.0 %","18.1 %","51.8 %","30.1 %"
"2011",".295","1.24","19.6 %","44.4 %","36.0 %","10.6 %","9.7 %","3844","6.6 %","750","23.4 %","39.8 %","35.4 %","24.8 %","24.3 %","51.5 %","24.3 %"
"2012",".297","1.33","20.9 %","45.1 %","34.0 %","10.0 %","11.3 %","3754","6.5 %","724","24.3 %","39.4 %","35.4 %","25.3 %","15.7 %","55.9 %","28.5 %"
"2013",".297","1.30","21.2 %","44.5 %","34.3 %","9.7 %","10.5 %","3641","6.3 %","644","23.6 %","38.8 %","36.1 %","25.1 %","16.5 %","53.6 %","29.9 %"
"2014",".299","1.30","20.8 %","44.8 %","34.4 %","9.6 %","9.5 %","3711","6.5 %","676","24.7 %","40.2 %","34.2 %","25.6 %","18.3 %","52.6 %","29.1 %"
"2015",".299","1.34","20.9 %","45.3 %","33.8 %","9.5 %","11.4 %","3833","6.6 %","623","24.8 %","39.1 %","35.2 %","25.7 %","18.6 %","52.5 %","28.8 %"
"2016",".300","1.29","20.7 %","44.7 %","34.6 %","9.7 %","12.8 %","3546","6.3 %","567","25.4 %","39.7 %","34.7 %","25.6 %","18.8 %","49.9 %","31.4 %"
"2017",".300","1.24","20.3 %","44.2 %","35.5 %","9.6 %","13.7 %","3667","6.6 %","508","25.8 %","39.8 %","34.9 %","25.3 %","18.9 %","49.3 %","31.8 %"
"2018",".293","1.22","21.2 %","43.3 %","35.5 %","10.4 %","12.6 %","1952","6.8 %","301","29.1 %","40.4 %","34.3 %","25.2 %","18.1 %","46.3 %","35.6 %"
