"Season","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%"
"2002","64.4 %","89.0","12.1 %","80.4","","","11.2 %","75.0","9.8 %","79.5","1.7 %","81.8","0.8 %","67.5","7.0 %"
"2003","63.8 %","89.4","11.8 %","81.7","","","10.0 %","75.1","12.0 %","79.6","1.7 %","82.9","0.7 %","66.6","5.9 %"
"2004","62.6 %","90.1","13.6 %","82.8","1.0 %","86.0","9.1 %","75.7","11.4 %","80.9","1.7 %","83.6","0.6 %","68.8","8.9 %"
"2005","61.9 %","90.1","14.8 %","82.5","2.2 %","86.2","8.4 %","75.4","10.9 %","80.8","1.4 %","83.9","0.5 %","67.8","5.5 %"
"2006","61.1 %","90.5","15.1 %","82.5","2.7 %","86.5","8.8 %","75.5","10.6 %","81.1","1.4 %","84.3","0.3 %","68.0","2.6 %"
"2007","60.6 %","90.3","14.9 %","82.4","2.9 %","86.4","8.7 %","75.1","11.3 %","81.1","1.4 %","83.3","0.4 %","67.1","2.0 %"
"2008","60.7 %","90.7","15.3 %","82.7","3.6 %","86.3","8.7 %","75.9","10.0 %","81.5","1.3 %","83.5","0.5 %","68.1","1.8 %"
"2009","59.7 %","91.2","14.9 %","83.0","4.6 %","87.1","9.1 %","76.4","10.0 %","82.2","1.3 %","83.7","0.4 %","68.5","1.9 %"
"2010","58.7 %","91.2","14.8 %","83.3","4.7 %","87.5","9.0 %","76.3","10.7 %","82.2","1.4 %","84.5","0.7 %","71.8","1.6 %"
"2011","57.8 %","91.5","14.6 %","83.4","5.7 %","87.5","9.4 %","76.7","10.4 %","82.5","1.5 %","84.3","0.6 %","71.2","0.8 %"
"2012","57.6 %","91.6","14.4 %","83.1","5.8 %","87.5","10.4 %","77.0","9.8 %","82.8","1.7 %","84.4","0.4 %","77.1","0.6 %"
"2013","57.8 %","91.7","14.5 %","83.3","5.7 %","87.5","9.7 %","77.3","10.2 %","82.9","1.7 %","83.7","0.5 %","75.7","0.6 %"
"2014","57.7 %","91.8","13.7 %","83.7","6.2 %","87.7","9.9 %","77.4","10.4 %","83.3","1.6 %","84.2","0.5 %","75.7","0.5 %"
"2015","57.7 %","92.1","14.8 %","84.0","5.6 %","87.7","9.1 %","77.9","10.8 %","83.5","1.4 %","84.1","0.6 %","75.3","0.5 %"
"2016","56.7 %","92.3","15.2 %","84.1","5.7 %","87.9","10.2 %","77.9","10.3 %","83.6","1.4 %","84.5","0.6 %","74.5","0.5 %"
"2017","55.6 %","92.8","16.3 %","84.4","5.5 %","88.5","10.6 %","78.6","10.3 %","84.2","1.3 %","84.3","0.4 %","76.6","0.5 %"
"2018","55.3 %","92.7","16.4 %","84.1","5.8 %","88.5","10.3 %","79.0","10.8 %","84.2","1.3 %","85.3","0.1 %","75.0","0.5 %"
