Season,Season,R/G,HR,R,SO,BA,FBv,SLv,CBv,CHv,HR/FB,Soft%,Med%,Hard%
2018,2018,4.39,1.15,4.39,8.51,0.24600000000000002,92.7,84.1,79.0,84.2,12.6,18.1,46.3,35.6
2017,2017,4.65,1.26,4.65,8.25,0.255,92.8,84.4,78.6,84.2,13.7,18.9,49.3,31.8
2016,2016,4.48,1.16,4.48,8.03,0.255,92.3,84.1,77.9,83.6,12.8,18.8,49.9,31.4
2015,2015,4.25,1.01,4.25,7.71,0.254,92.1,84.0,77.9,83.5,11.4,18.6,52.5,28.8
2014,2014,4.07,0.86,4.07,7.7,0.251,91.8,83.7,77.4,83.3,9.5,18.3,52.6,29.1
2013,2013,4.17,0.96,4.17,7.55,0.253,91.7,83.3,77.3,82.9,10.5,16.5,53.6,29.9
2012,2012,4.32,1.02,4.32,7.5,0.255,91.6,83.1,77.0,82.8,11.3,15.7,55.9,28.5
2011,2011,4.28,0.94,4.28,7.1,0.255,91.5,83.4,76.7,82.5,9.7,24.3,51.5,24.3
2010,2010,4.38,0.95,4.38,7.06,0.257,91.2,83.3,76.3,82.2,9.4,18.1,51.8,30.1
2009,2009,4.61,1.04,4.61,6.91,0.262,91.2,83.0,76.4,82.2,10.1,15.7,57.4,26.9
2008,2008,4.65,1.0,4.65,6.77,0.264,90.7,82.7,75.9,81.5,10.1,16.9,55.9,27.1
2007,2007,4.8,1.02,4.8,6.62,0.268,90.3,82.4,75.1,81.1,9.6,18.2,49.8,32.0
2006,2006,4.86,1.11,4.86,6.52,0.26899999999999996,90.5,82.5,75.5,81.1,10.8,11.2,61.6,27.2
2005,2005,4.59,1.03,4.59,6.3,0.264,90.1,82.5,75.4,80.8,10.6,15.8,56.4,27.8
2004,2004,4.81,1.12,4.81,6.55,0.266,90.1,82.8,75.7,80.9,11.2,14.5,58.9,26.6
2003,2003,4.73,1.07,4.73,6.34,0.264,89.4,81.7,75.1,79.6,11.2,15.9,60.5,23.6
2002,2002,4.62,1.04,4.62,6.47,0.261,89.0,80.4,75.0,79.5,10.7,15.1,62.6,22.4
