addr_state,debt_to_income_ratio,emp_length,loan_amnt,status,title,zip_code
CA,9.99,8 years,36000.0,accepted,Debt consolidation,916xx
TX,1.91%,< 1 year,5000.0,declined,Other,769xx
OK,41.74%,< 1 year,15000.0,declined,Debt consolidation,735xx
DE,20.28%,< 1 year,10000.0,declined,Debt consolidation,199xx
AL,7.52%,< 1 year,5000.0,declined,Other,356xx
FL,18.46%,< 1 year,1000.0,declined,Credit card refinancing,347xx
TX,2.12%,< 1 year,1000.0,declined,Other,791xx
MN,15.53,3 years,35000.0,accepted,Debt consolidation,550xx
NC,100%,< 1 year,2000.0,declined,Car financing,282xx
VT,4.22%,< 1 year,4000.0,declined,Other,054xx
NY,69.5%,< 1 year,18000.0,declined,Other,145xx
IL,41.52%,< 1 year,2000.0,declined,Debt consolidation,601xx
TX,21.73%,< 1 year,10000.0,declined,Other,785xx
NY,20.03%,< 1 year,15000.0,declined,Debt consolidation,100xx
NY,11.55%,< 1 year,25000.0,declined,Credit card refinancing,103xx
LA,40.01%,< 1 year,15000.0,declined,Credit card refinancing,714xx
ID,100%,3 years,40625.0,declined,Car financing,836xx
CT,48.03%,< 1 year,10000.0,declined,Home improvement,065xx
TX,4.42%,< 1 year,5000.0,declined,Moving and relocation,791xx
KS,25.78%,< 1 year,30000.0,declined,Debt consolidation,665xx
IL,100%,< 1 year,2000.0,declined,Other,610xx
CA,100%,< 1 year,12100.0,declined,Car financing,925xx
NM,7.37%,< 1 year,8800.0,declined,Medical expenses,874xx
CA,10.29%,< 1 year,20000.0,declined,Debt consolidation,949xx
SC,25.22,3 years,15000.0,accepted,Debt consolidation,296xx
WA,5.55%,< 1 year,3000.0,declined,Medical expenses,980xx
TX,31.86%,< 1 year,5000.0,declined,Other,799xx
WA,30.78%,< 1 year,10000.0,declined,Debt consolidation,982xx
CA,10.37%,< 1 year,35000.0,declined,Other,956xx
TX,68.46%,< 1 year,30000.0,declined,Debt consolidation,765xx
WV,13.8%,< 1 year,2000.0,declined,Other,257xx
TX,30.45%,< 1 year,5000.0,declined,Credit card refinancing,770xx
CA,37.52%,< 1 year,8500.0,declined,Debt consolidation,902xx
AL,100%,< 1 year,3000.0,declined,Moving and relocation,361xx
AL,271.2%,< 1 year,1000.0,declined,Major purchase,352xx
OH,40.16%,< 1 year,5000.0,declined,Credit card refinancing,430xx
TX,20.47%,< 1 year,5000.0,declined,Other,750xx
NV,18.53%,< 1 year,40000.0,declined,Debt consolidation,895xx
SC,15.36%,10+ years,10000.0,declined,Credit card refinancing,294xx
MO,346.39%,< 1 year,2000.0,declined,Moving and relocation,641xx
AL,100%,< 1 year,32000.0,declined,Credit card refinancing,368xx
TN,100%,< 1 year,12300.0,declined,Car financing,383xx
NC,29.45,10+ years,1200.0,accepted,Debt consolidation,283xx
NE,39850%,< 1 year,10000.0,declined,Debt consolidation,685xx
OH,100%,< 1 year,5000.0,declined,Other,455xx
MI,100%,1 year,14225.0,declined,Car financing,485xx
VA,19.61%,< 1 year,40000.0,declined,Debt consolidation,201xx
CA,31.94%,< 1 year,5000.0,declined,Other,916xx
TX,100%,< 1 year,30000.0,declined,Credit card refinancing,750xx
LA,19.06,9 years,20000.0,accepted,Debt consolidation,708xx
NY,24.96%,< 1 year,4000.0,declined,Credit card refinancing,134xx
PA,22.23%,< 1 year,10000.0,declined,Other,191xx
KS,0%,< 1 year,3000.0,declined,Home buying,676xx
MO,20.58%,< 1 year,1000.0,declined,Other,631xx
NV,3.2,5 years,5500.0,accepted,Major purchase,890xx
AL,8.52%,< 1 year,5000.0,declined,Medical expenses,362xx
WI,17.25%,< 1 year,30000.0,declined,Debt consolidation,546xx
TX,100%,< 1 year,39800.0,declined,Car financing,760xx
TX,38.26%,< 1 year,30500.0,declined,Credit card refinancing,770xx
TX,1.84%,< 1 year,4000.0,declined,Home improvement,773xx
MD,33.05%,< 1 year,25000.0,declined,Debt consolidation,218xx
GA,31.89%,< 1 year,35000.0,declined,Debt consolidation,306xx
MD,32.45%,< 1 year,5000.0,declined,Other,212xx
