Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Andre Moore,PF-SF,23,TOT,10,50,12.1,-0.1,0.1,0.0,-4.1,0.0,0.9,2.7,0.0,0.0,0.9,2.7,0.6,0.8,0.6,0.8,1.4,0.6,0.2,0.1,1988,0,1,-18.544314
Armen Gilliam,PF,23,PHO,55,1807,12.9,-0.1,1.4,1.3,-3.0,-0.5,6.2,13.1,0.0,0.0,6.2,13.1,2.4,3.5,2.4,5.5,7.9,1.3,1.1,0.5,1988,0,1,7.54553111
Bart Kofoed,SG,23,UTA,36,225,1.9,-0.4,0.2,-0.1,-6.3,-0.2,0.5,1.3,0.1,0.2,0.4,1.1,0.2,0.4,0.1,0.3,0.4,0.6,0.2,0.0,1988,0,1,-22.173587
Billy Donovan,PG,22,NYK,44,364,8.7,-0.4,0.3,-0.1,-7.4,-0.5,1.0,2.5,0.0,0.2,1.0,2.3,0.4,0.5,0.1,0.5,0.6,2.0,0.4,0.0,1988,0,1,-18.813397
Brad Lohaus,PF,23,BOS,70,718,12.2,0.2,0.8,0.9,-2.0,0.0,1.7,3.5,0.0,0.2,1.7,3.3,0.7,0.9,0.7,1.3,2.0,0.7,0.3,0.6,1988,0,1,-10.926012
Brian Rowsom,PF,22,IND,4,16,8.2,0.0,0.0,0.0,-9.3,0.0,0.0,1.5,0.0,0.0,0.0,1.5,1.5,1.5,0.3,1.0,1.3,0.3,0.3,0.0,1988,0,1,-21.471768
Charles Davis,SF,29,TOT,21,226,8.7,-0.3,0.0,-0.3,-7.3,-0.3,2.3,5.5,0.0,0.8,2.2,4.7,0.3,0.5,0.8,1.2,2.0,1.0,0.1,0.2,1988,0,1,-16.064885999999998
Chris Dudley,C,22,CLE,55,513,12.1,0.3,0.7,1.0,-1.5,0.1,1.2,2.5,0.0,0.0,1.2,2.5,0.7,1.3,1.3,1.3,2.6,0.4,0.2,0.3,1988,0,1,-12.435364
Chris Welp,C,24,PHI,10,132,12.4,0.2,0.1,0.3,-0.8,0.0,1.8,3.1,0.0,0.0,1.8,3.1,1.2,1.8,1.1,1.3,2.4,0.5,0.5,0.5,1988,0,1,-13.161797
Claude Gregory,PF,29,LAC,23,313,12.8,-0.3,0.4,0.1,-4.1,-0.2,2.7,5.8,0.0,0.0,2.7,5.8,0.5,1.6,1.6,2.5,4.1,0.7,0.4,0.6,1988,0,1,-10.114766
Clinton Wheeler,PG,28,IND,59,513,12.0,-0.2,0.6,0.4,-3.4,-0.2,1.1,2.2,0.0,0.0,1.1,2.2,0.4,0.6,0.3,0.4,0.7,1.7,0.6,0.0,1988,0,1,-15.634259
Dallas Comegys,PF,23,NJN,75,1122,9.5,-1.6,1.3,-0.3,-4.6,-0.7,2.1,4.8,0.0,0.0,2.1,4.8,1.4,2.0,0.7,2.2,2.9,0.9,0.5,0.9,1988,0,1,-9.0969711
Dave Henderson,SG,23,PHI,22,351,6.7,-0.6,0.2,-0.4,-6.8,-0.4,2.1,5.3,0.0,0.0,2.1,5.2,1.5,2.1,0.5,1.1,1.6,1.5,0.5,0.2,1988,0,1,-15.301704999999998
Dave Hoppen,C,23,TOT,39,642,11.4,0.5,0.4,0.8,-4.0,-0.3,2.2,4.7,0.0,0.0,2.2,4.7,1.4,1.6,1.5,3.0,4.5,0.8,0.3,0.2,1988,0,1,-9.706598
Dennis Hopson,SG,22,NJN,61,1365,10.2,-1.3,1.0,-0.3,-4.1,-0.7,3.6,9.0,0.2,0.7,3.4,8.3,2.1,2.9,1.0,1.3,2.3,1.9,0.9,0.4,1988,0,1,-3.9139449
Derrick McKey,SF,21,SEA,82,1706,13.8,2.1,2.0,4.1,0.8,1.2,3.1,6.3,0.1,0.4,3.0,6.0,2.1,2.7,1.4,2.6,4.0,1.3,0.9,0.8,1988,0,1,3.79645215
Duane Washington,SG,23,NJN,15,156,16.1,0.3,0.2,0.4,0.3,0.1,1.2,2.8,0.1,0.3,1.1,2.5,1.1,1.3,0.3,1.1,1.5,2.3,0.8,0.0,1988,0,1,-12.813151
Eddie Hughes,PG,27,UTA,11,42,8.8,0.0,0.0,0.0,-5.2,0.0,0.5,1.2,0.1,0.5,0.4,0.6,0.5,0.5,0.3,0.1,0.4,0.7,0.0,0.0,1988,0,1,-21.292251
Eric White,SF,22,LAC,17,352,15.2,0.6,0.2,0.8,-3.0,-0.1,3.9,7.3,0.1,0.1,3.8,7.2,2.6,3.4,1.8,1.8,3.6,0.5,0.4,0.2,1988,0,1,-5.871743599999999
